object_class,BusinessName,Descript,Description,DispNameKey,GlobalId,IDeploySpec,IExecUnit,IMapAttr,IMapComp,IMapCp,IMapProp,IMapPropParent,IMapping,IOwnerMapping,IPhyNode,IPropDef,IPropXrefValue,IsHidden,Name,PropDefGuid,PropDefQualifiedName,PropOrder,PropType,PropValue
SnpMapProp,null,null,null,null,54267f2e-e37d-4638-bea3-f7eb8870796c,null,null,null,191369,null,2375560,null,null,33424,null,36,null,0,FILTER_CONDITION,null,null,-1,E,null
SnpMapProp,null,null,null,null,5dd3d242-edd0-4218-83a4-d8acde273c26,null,null,null,null,null,2375573,null,null,33424,175591,239,null,1,IS_DEFAULT_TARGET_KM,null,null,-1,B,false
SnpMapProp,null,null,null,null,9e2c41a9-9b8a-4473-ada1-4c6bef074109,null,null,null,null,null,2375572,null,null,33424,175591,null,null,1,KM_PROCEDURE_OPTIONS,null,null,-1,S,null
SnpMapProp,null,null,null,null,8bd039b5-c968-45b2-be53-9be88f353710,null,33428,null,null,null,2375571,null,null,33424,null,226,null,1,IS_DEFAULT_EKM,null,null,-1,B,false
SnpMapProp,null,null,null,null,b4ff8777-8e6f-47ec-a9c7-0558b7198786,null,33428,null,null,null,2375570,null,null,33424,null,null,null,1,KM_PROCEDURE_OPTIONS,null,null,-1,S,null
SnpMapProp,null,null,null,null,566e9348-b599-4029-aed1-f5ea8aa2f48d,33413,null,null,null,null,2375569,null,null,33424,null,214,null,0,BEGIN_MAPPING_CMD,null,null,-1,E,null
SnpMapProp,null,null,null,null,d0982984-9a7b-4c08-a717-4b182c3ecf13,33413,null,null,null,null,2375568,null,null,33424,null,217,null,0,END_MAPPING_CMD,null,null,-1,E,null
SnpMapProp,null,null,null,null,39250e7f-b035-49d3-a570-d2e177599cfa,null,null,null,191370,null,2375567,null,null,33424,null,8,1828836,0,COMPONENT_CONTEXT,null,null,-1,R,null
SnpMapProp,null,null,null,null,6c19ace0-0c78-4cad-b614-b9e9ca1c3801,null,null,null,191368,null,2375566,null,null,33424,null,8,1828836,0,COMPONENT_CONTEXT,null,null,-1,R,null
SnpMapProp,null,null,null,null,b27f5a84-d4a5-42ed-a29c-d8b0f3497aea,null,null,1403555,null,null,2375565,null,null,33424,null,19,null,0,CHECK_NOT_NULL_INDICATOR,null,null,-1,B,false
SnpMapProp,null,null,null,null,a7654cb4-7f70-4305-9c18-f88c9021033e,null,null,1403554,null,null,2375564,null,null,33424,null,19,null,1,CHECK_NOT_NULL_INDICATOR,null,null,-1,B,null
SnpMapProp,null,null,null,null,5b0494f0-5e14-4777-beb2-7ac0005c8b8a,null,null,1403553,null,null,2375563,null,null,33424,null,19,null,0,CHECK_NOT_NULL_INDICATOR,null,null,-1,B,false
SnpMapProp,null,null,null,null,fc2be697-5d45-4819-9c8c-246764296f5f,null,null,1403552,null,null,2375562,null,null,33424,null,19,null,0,CHECK_NOT_NULL_INDICATOR,null,null,-1,B,false
SnpMapProp,null,null,null,null,49ac0e12-d43e-48e7-ad25-86288b395e1e,null,null,1403551,null,null,2375561,null,null,33424,null,19,null,0,CHECK_NOT_NULL_INDICATOR,null,null,-1,B,true
SnpMapProp,null,null,null,null,46d30efc-770a-4e07-bdac-f3b453e4beaa,null,null,1403550,null,null,2375559,null,null,33424,null,19,null,1,CHECK_NOT_NULL_INDICATOR,null,null,-1,B,null
SnpMapProp,null,null,null,null,52e84a2d-cfde-4413-b9f7-1f6d950a9985,null,null,1403549,null,null,2375558,null,null,33424,null,19,null,1,CHECK_NOT_NULL_INDICATOR,null,null,-1,B,null
SnpMapProp,null,null,null,null,eb486ba3-ddf0-4d62-9327-a9e8d08143a8,null,null,1403548,null,null,2375557,null,null,33424,null,19,null,1,CHECK_NOT_NULL_INDICATOR,null,null,-1,B,null
SnpMapProp,null,null,null,null,7d17381e-4c12-4c3e-b5d4-fa7a1f4f8cc8,null,null,1403547,null,null,2375556,null,null,33424,null,19,null,1,CHECK_NOT_NULL_INDICATOR,null,null,-1,B,null
SnpMapProp,null,null,null,null,429c74d6-6b8e-40c3-96df-0ec9c46488bd,null,null,null,null,null,2375555,null,33424,33424,null,191,null,1,XMLDiagramSettings,null,null,-1,S,null
SnpMapProp,null,null,null,null,1bef6e64-cbe8-40e5-bdcf-b4c85d77b7cb,null,null,null,null,null,2375554,null,33424,33424,null,194,null,0,TARGET_LOAD_ORDER,null,null,-1,E,null
